index,key_column,county,year,case,state,fips,precipitation,temp,population,rate,tempchg_c,tempchg,slope,bin
120.0,121.0,colusa,2016,1.0,California,6011.0,0.043333333333333335,77.03333333333333,21496.0,4.652028284331969,0.9856102580666538,1.7740984645199769,0.014661970781156834,"(-inf, 0.0]"
121.0,122.0,colusa,2017,0.0,California,6011.0,0.21,79.3,21579.0,0.0,0.9937557973895187,1.7887604353011337,0.014661970781156834,"(-inf, 0.0]"
122.0,123.0,colusa,2018,2.0,California,6011.0,0.0,77.53333333333333,21418.0,9.337940050424876,1.0019013367123837,1.8034224060822905,0.014661970781156834,"(-inf, 0.0]"
123.0,124.0,colusa,2019,3.0,California,6011.0,0.01,77.60000000000001,21547.0,13.923051932983709,1.0100468760352486,1.8180843768634474,0.014661970781156834,"(-inf, 0.0]"
124.0,125.0,colusa,2020,1.0,California,6011.0,0.023333333333333334,78.56666666666666,21858.0,4.574983987556044,1.0181924153581134,1.8327463476446042,0.014661970781156834,"(-inf, 0.0]"
125.0,126.0,colusa,2021,0.0,California,6011.0,0.0033333333333333335,79.56666666666666,21913.0,0.0,1.0263379546809783,1.847408318425761,0.014661970781156834,"(-inf, 0.0]"
126.0,127.0,contra costa,2001,7.0,California,6013.0,0.04,70.89999999999999,970952.0,0.7209419209188508,1.4423520009275814,2.596233601669647,0.02449276982707214,"(-inf, 0.0]"
127.0,128.0,contra costa,2002,7.0,California,6013.0,0.0,70.43333333333334,979862.0,0.7143863115418293,1.455959095275955,2.620726371496719,0.02449276982707214,"(-inf, 0.0]"
128.0,129.0,contra costa,2003,13.0,California,6013.0,0.03666666666666667,71.56666666666666,987531.0,1.3164143707893727,1.4695661896243284,2.6452191413237913,0.02449276982707214,"(-inf, 0.0]"
129.0,130.0,contra costa,2004,19.0,California,6013.0,0.0,70.5,992424.0,1.9145042844590618,1.4831732839727017,2.669711911150863,0.02449276982707214,"(-inf, 0.0]"
130.0,131.0,contra costa,2005,19.0,California,6013.0,0.11,71.06666666666666,999013.0,1.901877152749764,1.4967803783210751,2.6942046809779354,0.02449276982707214,"(-inf, 0.0]"
131.0,132.0,contra costa,2006,29.0,California,6013.0,0.0033333333333333335,72.39999999999999,1000834.0,2.89758341543153,1.5103874726694486,2.7186974508050077,0.02449276982707214,"(-inf, 0.0]"
132.0,133.0,contra costa,2007,22.0,California,6013.0,0.006666666666666667,70.8,1009152.0,2.1800481988838154,1.523994567017822,2.74319022063208,0.02449276982707214,"(-inf, 0.0]"
133.0,134.0,contra costa,2008,10.0,California,6013.0,0.0,71.83333333333333,1023344.0,0.9771885113901092,1.5376016613661954,2.767682990459152,0.02449276982707214,"(-inf, 0.0]"
134.0,135.0,contra costa,2009,14.0,California,6013.0,0.013333333333333334,70.3,1037890.0,1.3488905375328792,1.5512087557145688,2.792175760286224,0.02449276982707214,"(-inf, 0.0]"
135.0,136.0,contra costa,2010,16.0,California,6013.0,0.0033333333333333335,68.83333333333333,1052540.0,1.520132251505881,1.5648158500629423,2.8166685301132963,0.02449276982707214,"(-inf, 0.0]"
136.0,137.0,contra costa,2011,31.0,California,6013.0,0.22666666666666668,68.86666666666667,1065440.0,2.9095960354407566,1.5784229444113156,2.841161299940368,0.02449276982707214,"(-inf, 0.0]"
137.0,138.0,contra costa,2012,29.0,California,6013.0,0.03333333333333333,70.36666666666667,1077548.0,2.691295422570503,1.592030038759689,2.8656540697674404,0.02449276982707214,"(-inf, 0.0]"
138.0,139.0,contra costa,2013,38.0,California,6013.0,0.07,71.10000000000001,1093401.0,3.475394663074206,1.6056371331080626,2.8901468395945127,0.02449276982707214,"(-inf, 0.0]"
139.0,140.0,contra costa,2014,30.0,California,6013.0,0.016666666666666666,71.60000000000001,1108876.0,2.7054422676656364,1.619244227456436,2.914639609421585,0.02449276982707214,"(-inf, 0.0]"
140.0,141.0,contra costa,2015,50.0,California,6013.0,0.10000000000000002,71.89999999999999,1124405.0,4.446796305601629,1.6328513218048093,2.939132379248657,0.02449276982707214,"(-inf, 0.0]"
141.0,142.0,contra costa,2016,68.0,California,6013.0,0.0,71.43333333333334,1137268.0,5.979241480460191,1.6464584161531828,2.963625149075729,0.02449276982707214,"(-inf, 0.0]"
142.0,143.0,contra costa,2017,89.0,California,6013.0,0.03,73.23333333333333,1145535.0,7.769295569319139,1.6600655105015563,2.9881179189028013,0.02449276982707214,"(-inf, 0.0]"
143.0,144.0,contra costa,2018,109.0,California,6013.0,0.0,71.83333333333333,1150519.0,9.473985218844714,1.6736726048499295,3.012610688729873,0.02449276982707214,"(-inf, 0.0]"
144.0,145.0,contra costa,2019,134.0,California,6013.0,0.0,72.23333333333333,1153526.0,11.616556540554786,1.687279699198303,3.0371034585569454,0.02449276982707214,"(-inf, 0.0]"
145.0,146.0,contra costa,2020,144.0,California,6013.0,0.03,73.33333333333333,1165986.0,12.35006252219152,1.7008867935466765,3.0615962283840177,0.02449276982707214,"(-inf, 0.0]"
