year,fips,month,temp
1992,04007,Jan,2.5
1993,04007,Jan,10.04
1994,04007,Jan,0.41
1995,04007,Jan,4.64
1996,04007,Jan,0.42
1997,04007,Jan,4.34
1998,04007,Jan,1.01
1999,04007,Jan,0.14
2000,04007,Jan,0.26
2001,04007,Jan,2.76
2002,04007,Jan,0.32
2003,04007,Jan,0.49
2004,04007,Jan,1.43
2005,04007,Jan,4.75
2006,04007,Jan,0.13
2007,04007,Jan,1.9
2008,04007,Jan,4.89
2009,04007,Jan,0.95
2010,04007,Jan,7.35
2011,04007,Jan,0.06
2012,04007,Jan,0.5
2013,04007,Jan,2.9
2014,04007,Jan,0
2015,04007,Jan,2.88
2016,04007,Jan,2.85
2017,04007,Jan,4.49
2018,04007,Jan,0.93
2019,04007,Jan,1.91
2020,04007,Jan,0.6
2021,04007,Jan,2.67
2022,04007,Jan,0.72
2023,04007,Jan,4.61
1895,04009,Jan,1.89
1896,04009,Jan,0.49
1897,04009,Jan,2.46
1898,04009,Jan,2.16
1899,04009,Jan,0.77
1900,04009,Jan,0.32
1901,04009,Jan,2.29
1902,04009,Jan,0.59
1903,04009,Jan,0.11
1904,04009,Jan,0.32
1905,04009,Jan,3.22
1906,04009,Jan,0.87
1907,04009,Jan,2.95
1908,04009,Jan,1.03
1909,04009,Jan,1.02
1910,04009,Jan,1.03
1911,04009,Jan,2.13
1912,04009,Jan,0.03
1913,04009,Jan,0.98
1914,04009,Jan,0.42
1915,04009,Jan,2.36
1916,04009,Jan,5.56
1917,04009,Jan,2.75
1918,04009,Jan,2.22
1919,04009,Jan,0.36
1920,04009,Jan,2.33
1921,04009,Jan,0.32
1922,04009,Jan,1.75
1923,04009,Jan,0.34
1924,04009,Jan,0.05
1925,04009,Jan,0.13
1926,04009,Jan,0.97
1927,04009,Jan,0.07
1928,04009,Jan,0.06
1929,04009,Jan,0.46
1930,04009,Jan,1.87
1931,04009,Jan,0.65
1932,04009,Jan,1.01
1933,04009,Jan,1.29
1934,04009,Jan,0.21
1935,04009,Jan,1.81
1936,04009,Jan,1.26
1937,04009,Jan,1.44
1938,04009,Jan,0.54
1939,04009,Jan,1.09
1940,04009,Jan,0.8
1941,04009,Jan,2.49
1942,04009,Jan,0.74
1943,04009,Jan,1.65
1944,04009,Jan,0.68
1945,04009,Jan,1.34
1946,04009,Jan,2.33
1947,04009,Jan,0.48
1948,04009,Jan,0.17
1949,04009,Jan,3.19
1950,04009,Jan,0.64
1951,04009,Jan,1.32
1952,04009,Jan,2.21
1953,04009,Jan,0.24
1954,04009,Jan,0.99
1955,04009,Jan,2.29
1956,04009,Jan,1.16
1957,04009,Jan,2.67
1958,04009,Jan,0.18
1959,04009,Jan,0.14
1960,04009,Jan,2.41
1961,04009,Jan,1.62
1962,04009,Jan,1.75
1963,04009,Jan,1.19
1964,04009,Jan,0.27
1965,04009,Jan,2.13
1966,04009,Jan,1.1
1967,04009,Jan,0.21
1968,04009,Jan,0.76
1969,04009,Jan,0.78
1970,04009,Jan,0.06
1971,04009,Jan,0.31
1972,04009,Jan,0.03
1973,04009,Jan,0.67
1974,04009,Jan,1.53
1975,04009,Jan,0.96
1976,04009,Jan,0.43
1977,04009,Jan,1.94
1978,04009,Jan,3.46
1979,04009,Jan,3.85
1980,04009,Jan,2.18
1981,04009,Jan,0.91
1982,04009,Jan,2.45
1983,04009,Jan,1.98
1984,04009,Jan,1.05
1985,04009,Jan,1.94
1986,04009,Jan,0.12
1987,04009,Jan,0.8
1988,04009,Jan,0.94
1989,04009,Jan,1.64
1990,04009,Jan,0.72
1991,04009,Jan,1.23
1992,04009,Jan,1.81
1993,04009,Jan,6.48
1994,04009,Jan,0.16
1995,04009,Jan,2.52
1996,04009,Jan,0.24
1997,04009,Jan,2.06
1998,04009,Jan,0.45
1999,04009,Jan,0.04
2000,04009,Jan,0.26
2001,04009,Jan,1.94
2002,04009,Jan,0.22
2003,04009,Jan,0.3
2004,04009,Jan,1.18
2005,04009,Jan,2.68
2006,04009,Jan,0.26
2007,04009,Jan,2.1
2008,04009,Jan,1.78
2009,04009,Jan,0.92
2010,04009,Jan,4.07
2011,04009,Jan,0.03
2012,04009,Jan,0.54
2013,04009,Jan,0.96
2014,04009,Jan,0
2015,04009,Jan,2.76
2016,04009,Jan,1.88
2017,04009,Jan,1.79
2018,04009,Jan,0.35
2019,04009,Jan,1.34
2020,04009,Jan,1.04
2021,04009,Jan,1.23
2022,04009,Jan,0.87
2023,04009,Jan,2.36
1895,04011,Jan,2.36
1896,04011,Jan,0.42
1897,04011,Jan,2.25
1898,04011,Jan,1.95
1899,04011,Jan,0.57
1900,04011,Jan,0.36
1901,04011,Jan,2.27
1902,04011,Jan,0.65
1903,04011,Jan,0.17
1904,04011,Jan,0.28
1905,04011,Jan,3.6
1906,04011,Jan,0.89
1907,04011,Jan,3.04
1908,04011,Jan,1.28
1909,04011,Jan,0.8
1910,04011,Jan,1.61
1911,04011,Jan,2.06
1912,04011,Jan,0.08
1913,04011,Jan,0.85
1914,04011,Jan,0.42
1915,04011,Jan,2.49
1916,04011,Jan,5.08
1917,04011,Jan,2.7
1918,04011,Jan,2.15
1919,04011,Jan,0.47
1920,04011,Jan,2.5
1921,04011,Jan,0.58
1922,04011,Jan,1.75
1923,04011,Jan,0.46
1924,04011,Jan,0.13
1925,04011,Jan,0.13
1926,04011,Jan,1.01
1927,04011,Jan,0.08
1928,04011,Jan,0.1
1929,04011,Jan,0.58
1930,04011,Jan,1.71
1931,04011,Jan,0.69
1932,04011,Jan,1.72
1933,04011,Jan,1.32
1934,04011,Jan,0.17
1935,04011,Jan,2.07
1936,04011,Jan,1.44
1937,04011,Jan,1.28
1938,04011,Jan,0.51
1939,04011,Jan,1.42
1940,04011,Jan,0.75
1941,04011,Jan,2.12
1942,04011,Jan,0.72
1943,04011,Jan,1.59
1944,04011,Jan,0.71
1945,04011,Jan,1.13
1946,04011,Jan,2
1947,04011,Jan,0.72
1948,04011,Jan,0.54
1949,04011,Jan,5.1
1950,04011,Jan,0.72
1951,04011,Jan,1.06
1952,04011,Jan,2.9
1953,04011,Jan,0.19
1954,04011,Jan,0.99
1955,04011,Jan,2.56
1956,04011,Jan,1.13
1957,04011,Jan,3.06
1958,04011,Jan,0.55
1959,04011,Jan,0.24
1960,04011,Jan,2.78
1961,04011,Jan,1.36
1962,04011,Jan,1.76
1963,04011,Jan,1.49
1964,04011,Jan,0.38
1965,04011,Jan,2.28
1966,04011,Jan,1.17
1967,04011,Jan,0.24
1968,04011,Jan,0.89
1969,04011,Jan,1.13
1970,04011,Jan,0.11
1971,04011,Jan,0.27
1972,04011,Jan,0.02
1973,04011,Jan,1.09
1974,04011,Jan,1.75
1975,04011,Jan,1.56
1976,04011,Jan,0.33
1977,04011,Jan,1.66
1978,04011,Jan,2.67
1979,04011,Jan,4.06
1980,04011,Jan,2.37
1981,04011,Jan,0.98
1982,04011,Jan,2.22
1983,04011,Jan,2.09
1984,04011,Jan,1.07
1985,04011,Jan,2.04
1986,04011,Jan,0.2
1987,04011,Jan,0.98
1988,04011,Jan,1.12
1989,04011,Jan,1.67
1990,04011,Jan,0.8
1991,04011,Jan,0.96
1992,04011,Jan,1.69
1993,04011,Jan,5.55
1994,04011,Jan,0.35
1995,04011,Jan,2.98
1996,04011,Jan,0.39
1997,04011,Jan,2.36
1998,04011,Jan,0.36
1999,04011,Jan,0.15
2000,04011,Jan,0.32
2001,04011,Jan,1.67
2002,04011,Jan,0.33
2003,04011,Jan,0.35
2004,04011,Jan,1.67
2005,04011,Jan,3.35
2006,04011,Jan,0.33
2007,04011,Jan,2.57
2008,04011,Jan,2.48
2009,04011,Jan,0.62
2010,04011,Jan,4.26
2011,04011,Jan,0.09
2012,04011,Jan,0.64
2013,04011,Jan,1.22
2014,04011,Jan,0.03
2015,04011,Jan,2.84
2016,04011,Jan,1.41
2017,04011,Jan,2.12
2018,04011,Jan,0.36
2019,04011,Jan,1.33
2020,04011,Jan,1.03
2021,04011,Jan,1.15
2022,04011,Jan,0.91
2023,04011,Jan,2.18
1895,04012,Jan,1.65
1896,04012,Jan,0.49
1897,04012,Jan,2.86
1898,04012,Jan,0.72
1899,04012,Jan,0.41
1900,04012,Jan,0.1
1901,04012,Jan,0.24
1902,04012,Jan,0.3
1903,04012,Jan,0.06
1904,04012,Jan,0.01
1905,04012,Jan,1.7
1906,04012,Jan,0.09
1907,04012,Jan,0.55
1908,04012,Jan,0.91
1909,04012,Jan,0.39
1910,04012,Jan,0.41
1911,04012,Jan,0.89
1912,04012,Jan,0
1913,04012,Jan,0.37
1914,04012,Jan,0.66
1915,04012,Jan,2.66
1916,04012,Jan,2.49
1917,04012,Jan,1.4
1918,04012,Jan,0.69
1919,04012,Jan,0.43
1920,04012,Jan,2.67
1921,04012,Jan,1.06
1922,04012,Jan,0.92
1923,04012,Jan,0.32
1924,04012,Jan,0
1925,04012,Jan,0.06
1926,04012,Jan,0.3
1927,04012,Jan,0.2
1928,04012,Jan,0.02
1929,04012,Jan,0.4
1930,04012,Jan,1.34
1931,04012,Jan,0.08
1932,04012,Jan,0.03
1933,04012,Jan,1.58
1934,04012,Jan,0.16
1935,04012,Jan,1.42
1936,04012,Jan,0.37
1937,04012,Jan,0.82
1938,04012,Jan,0.11
1939,04012,Jan,0.68
1940,04012,Jan,0.09
1941,04012,Jan,1.24
1942,04012,Jan,0.31
1943,04012,Jan,1.07
1944,04012,Jan,0.16
1945,04012,Jan,0.87
1946,04012,Jan,0.15
1947,04012,Jan,0.01
1948,04012,Jan,0
1949,04012,Jan,2.57
1950,04012,Jan,0.11
1951,04012,Jan,0.81
1952,04012,Jan,0.48
1953,04012,Jan,0.08
1954,04012,Jan,1.02
1955,04012,Jan,1.68
1956,04012,Jan,0.03
1957,04012,Jan,1.17
1958,04012,Jan,0.09
1959,04012,Jan,0.13
1960,04012,Jan,0.67
1961,04012,Jan,0.23
1962,04012,Jan,1.13
1963,04012,Jan,0.14
1964,04012,Jan,0.03
1965,04012,Jan,0.61
1966,04012,Jan,0.74
1967,04012,Jan,0.27
1968,04012,Jan,0.09
1969,04012,Jan,1.54
1970,04012,Jan,0.09
1971,04012,Jan,0.02
1972,04012,Jan,0
1973,04012,Jan,0.11
1974,04012,Jan,0.99
1975,04012,Jan,0.18
1976,04012,Jan,0.09
1977,04012,Jan,0.44
1978,04012,Jan,2.73
1979,04012,Jan,2.1
1980,04012,Jan,1.61
1981,04012,Jan,0.28
1982,04012,Jan,0.4
1983,04012,Jan,0.52
1984,04012,Jan,0.05
1985,04012,Jan,0.61
1986,04012,Jan,0.23
1987,04012,Jan,0.36
1988,04012,Jan,0.88
1989,04012,Jan,1.31
1990,04012,Jan,0.97
1991,04012,Jan,0.43
1992,04012,Jan,0.93
1993,04012,Jan,3.51
1994,04012,Jan,0.05
1995,04012,Jan,2.09
1996,04012,Jan,0.05
1997,04012,Jan,0.98
1998,04012,Jan,0.32
1999,04012,Jan,0.06
2000,04012,Jan,0.01
2001,04012,Jan,1.3
2002,04012,Jan,0
2003,04012,Jan,0.61
2004,04012,Jan,0.14
2005,04012,Jan,1.99
2006,04012,Jan,0
2007,04012,Jan,0.23
2008,04012,Jan,1.36
2009,04012,Jan,0.02
2010,04012,Jan,2.53
2011,04012,Jan,0
2012,04012,Jan,0.02
2013,04012,Jan,1.16
2014,04012,Jan,0
2015,04012,Jan,0.83
2016,04012,Jan,0.99
2017,04012,Jan,1.4
2018,04012,Jan,0.46
2019,04012,Jan,1.86
2020,04012,Jan,0.02
2021,04012,Jan,1.21
2022,04012,Jan,0.07
2023,04012,Jan,0.87
1895,04013,Jan,2.19
1896,04013,Jan,0.76
1897,04013,Jan,3.17
1898,04013,Jan,1.98
1899,04013,Jan,1.31
1900,04013,Jan,0.09
1901,04013,Jan,0.75
1902,04013,Jan,1.02
1903,04013,Jan,0.06
1904,04013,Jan,0.17
1905,04013,Jan,3.06
1906,04013,Jan,0.28
1907,04013,Jan,1.45
1908,04013,Jan,0.64
1909,04013,Jan,0.64
1910,04013,Jan,1.03
1911,04013,Jan,2.03
1912,04013,Jan,0
1913,04013,Jan,0.55
1914,04013,Jan,0.66
1915,04013,Jan,2.4
1916,04013,Jan,3.9
1917,04013,Jan,2.56
1918,04013,Jan,1.73
1919,04013,Jan,0.46
1920,04013,Jan,2.08
1921,04013,Jan,0.44
1922,04013,Jan,1.95
1923,04013,Jan,0.53
1924,04013,Jan,0
1925,04013,Jan,0.07
1926,04013,Jan,0.48
1927,04013,Jan,0.12
1928,04013,Jan,0.06
1929,04013,Jan,1.06
1930,04013,Jan,1.92
1931,04013,Jan,0.22
1932,04013,Jan,0.39
1933,04013,Jan,2.89
1934,04013,Jan,0.31
1935,04013,Jan,1.56
1936,04013,Jan,0.86
1937,04013,Jan,1.41
1938,04013,Jan,0.42
1939,04013,Jan,0.56
1940,04013,Jan,0.17
1941,04013,Jan,1.34
1942,04013,Jan,0.57
1943,04013,Jan,1.12
1944,04013,Jan,0.39
1945,04013,Jan,1.5
1946,04013,Jan,0.94
1947,04013,Jan,0.06
1948,04013,Jan,0.01
1949,04013,Jan,2.57
1950,04013,Jan,0.51
1951,04013,Jan,1.75
1952,04013,Jan,0.97
1953,04013,Jan,0.24
1954,04013,Jan,1.29
1955,04013,Jan,2.66
1956,04013,Jan,0.48
1957,04013,Jan,2.51
1958,04013,Jan,0.03
1959,04013,Jan,0.21
1960,04013,Jan,1.2
1961,04013,Jan,0.37
1962,04013,Jan,1.57
1963,04013,Jan,0.43
1964,04013,Jan,0.22
1965,04013,Jan,1.68
1966,04013,Jan,0.74
1967,04013,Jan,0.29
1968,04013,Jan,0.26
1969,04013,Jan,1.69
1970,04013,Jan,0.06
1971,04013,Jan,0.13
1972,04013,Jan,0
1973,04013,Jan,0.18
1974,04013,Jan,1.24
1975,04013,Jan,0.14
1976,04013,Jan,0.05
1977,04013,Jan,1.01
1978,04013,Jan,2.99
1979,04013,Jan,3.32
1980,04013,Jan,2.29
1981,04013,Jan,0.83
1982,04013,Jan,1
1983,04013,Jan,1.03
1984,04013,Jan,0.31
1985,04013,Jan,1.01
1986,04013,Jan,0.2
1987,04013,Jan,0.77
1988,04013,Jan,1.14
1989,04013,Jan,1.75
1990,04013,Jan,1.06
1991,04013,Jan,0.78
